course,unique,days,hour,room,instruction_mode,instructor,status,level
GRG f412E DIGITAL EARTH-WB  (First term),79840,,,,Internet,"LEVINE, DANIEL S",cancelled,Lower
GRG s322D HUMAN HEALTH/ENVIRONMENT-WB  (Second term),79879,MTWTHF,1:00 p.m.-2:30 p.m.,,Internet,"ELKINS, JULES R",open,Upper
"GRG s325E THE HEALTHY, LIVABLE CITY-WB  (Second term)",79880,MTWTHF,11:30 a.m.-1:00 p.m.,,Internet,"ELKINS, JULES R",open,Upper
GRG s367D CLIM CHG/VEG RESP KALAHARI-BOT  (Second term),79885,,,,Face-to-face,"MEYER, THORALF",open,Upper
GRG s368D ENV CUL DYNAMICS BOTSWANA-BOT  (Second term),79890,,,,Face-to-face,"MEYER, THORALF",open,Upper
GRG w397 CONF COURSE IN GEOGRAPHY-WB  (Whole term),79845,,,,Internet,,open,Graduate
GRG w698A THESIS-WB  (Whole term),79850,,,,Internet,,open,Graduate
GRG w698B THESIS-WB  (Whole term),79855,,,,Internet,,open,Graduate
GRG w398R MASTER'S REPORT-WB  (Whole term),79860,,,,Internet,,open,Graduate
GRG w399W DISSERTATION-WB  (Whole term),79865,,,,Internet,,open,Graduate
GRG w699W DISSERTATION-WB  (Whole term),79870,,,,Internet,,open,Graduate
GRG w999W DISSERTATION-WB  (Whole term),79875,,,,Internet,,open,Graduate
GSD s312C CONVERSION OF PAGAN EUROPE-WB  (Second term),80070,,,,Internet,"ROBERTS, JASON EDWARD",open,Lower
GSD f341F WOMEN AND THE HOLOCAUST-WB  (First term),80065,MTWTHF,10:00 a.m.-11:30 a.m.,,Internet,"BOS, PASCALE R",cancelled,Upper
GSD s331E SCANDINVN CIN SINCE 1980-WB  (Second term),80075,MTWTHF,10:00 a.m.-11:30 a.m.,,Internet,"WILKINSON, LYNN R",open,Upper
H S f302 CURR APPRO TO HLTH/SOCTY-WB  (First term),77329,,,,Internet,"PALMO, NINA J",waitlisted,Lower
H S f378 SEMINAR IN HEALTH & SOCIETY  (First term),77330,MTWTHF,10:00 a.m.-11:30 a.m.,RLP 0.108,Face-to-face,"DEITHLOFF, LETA F",open; reserved,Upper
HDF f155R PROBS CRS: RSRCH PRACTICUM-WB  (First term),84850,,,,Internet,,open; reserved,Upper
HDF w155R PROBS CRS: RSRCH PRACTICUM-WB  (Whole term),84855,,,,Internet,,open; reserved,Upper
HDF f255R PROBS CRS: RSRCH PRACTICUM-WB  (First term),84860,,,,Internet,,open; reserved,Upper
HDF w255R PROBS CRS: RESEARCH PRACTICUM  (Whole term),84865,,,,Face-to-face,,open; reserved,Upper
HDF f355R PROBS CRS: RESEARCH PRACTICUM  (First term),84870,,,,Face-to-face,,open; reserved,Upper
HDF w355R PROBS CRS: RESEARCH PRACTICUM  (Whole term),84875,W,12:00 p.m.-1:00 p.m.,ASE 1.126,Face-to-face,,open; reserved,Upper
HDF w355R PROBS CRS: RSRCH PRACTICUM-WB  (Whole term),84880,,,,Internet,,open; reserved,Upper
HDF f655R PROBS CRS: RESEARCH PRACTICUM  (First term),84885,,,,Face-to-face,,open; reserved,Upper
HDF w655R PROBS CRS: RESEARCH PRACTICUM  (Whole term),84890,W,12:00 p.m.-1:00 p.m.,ASE 1.126,Face-to-face,,open; reserved,Upper
HDF w655R PROBS CRS: RESEARCH PRACTICUM  (Whole term),84895,,,,Face-to-face,,open; reserved,Upper
HDF f357 APPLIED CHILD DEVELOPMENT  (First term),84900,,,,Face-to-face,,open; reserved,Upper
HDF w357 APPLIED CHILD DEVELOPMENT  (Whole term),84905,,,,Face-to-face,,open; reserved,Upper
HDF f159 ADV APPLD RESEARCH EXPERIENCE  (First term),84910,,,,Face-to-face,,open; reserved,Upper
HDF w159 ADV APPLD RESEARCH EXPERIENCE  (Whole term),84915,,,,Face-to-face,,open; reserved,Upper
HDF f259 ADV APPLD RESEARCH EXPERIENCE  (First term),84920,,,,Face-to-face,,open; reserved,Upper
HDF w259 ADV APPLD RESEARCH EXPERIENCE  (Whole term),84925,,,,Face-to-face,,open; reserved,Upper
HDF f359 ADV APPLD RESEARCH EXPERIENCE  (First term),84930,,,,Face-to-face,,open; reserved,Upper
HDF w359 ADV APPLD RESEARCH EXPERIENCE  (Whole term),84935,W,12:00 p.m.-1:00 p.m.,ASE 1.126,Face-to-face,,open; reserved,Upper
HDF w359 ADV APPLD RESEARCH EXPERIENCE  (Whole term),84940,,,,Face-to-face,,open; reserved,Upper
HDF f659 ADV APPLD RESEARCH EXPERIENCE  (First term),84945,,,,Face-to-face,,open; reserved,Upper
HDF w659 ADV APPLD RESEARCH EXPERIENCE  (Whole term),84950,,,,Face-to-face,,open; reserved,Upper
HDF w379H HONORS TUTORIAL COURSE  (Whole term),84955,,,,Face-to-face,,open; reserved,Upper
HDF s155R PROBS CRS: RESEARCH PRACTICUM  (Second term),84995,,,,Face-to-face,,open; reserved,Upper
HDF s255R PROBS CRS: RESEARCH PRACTICUM  (Second term),85000,,,,Face-to-face,,open; reserved,Upper
HDF s355R PROBS CRS: RESEARCH PRACTICUM  (Second term),85005,,,,Face-to-face,,open; reserved,Upper
HDF s655R PROBS CRS: RESEARCH PRACTICUM  (Second term),85010,,,,Face-to-face,,open; reserved,Upper
HDF s357 APPLIED CHILD DEVELOPMENT  (Second term),85015,,,,Face-to-face,,open; reserved,Upper
HDF s159 ADV APPLD RESEARCH EXPERIENCE  (Second term),85020,,,,Face-to-face,,open; reserved,Upper
HDF s259 ADV APPLD RESEARCH EXPERIENCE  (Second term),85025,,,,Face-to-face,,open; reserved,Upper
HDF s359 ADV APPLD RESEARCH EXPERIENCE  (Second term),85030,,,,Face-to-face,,open; reserved,Upper
HDF s659 ADV APPLD RESEARCH EXPERIENCE  (Second term),85035,,,,Face-to-face,,open; reserved,Upper
HDF f392 RSCH PROB: HUM DEV/FAM SCI  (First term),84960,,,,Face-to-face,,open,Graduate
HDF w392 RSCH PROB: HUM DEV/FAM SCI  (Whole term),84965,,,,Face-to-face,,open,Graduate
HDF w698A THESIS  (Whole term),84970,,,,Face-to-face,,open,Graduate
HDF w698B THESIS  (Whole term),84975,,,,Face-to-face,,open,Graduate
HDF w399W DISSERTATION  (Whole term),84980,,,,Face-to-face,,open,Graduate
HDF w699W DISSERTATION  (Whole term),84985,,,,Face-to-face,,open,Graduate
HDF w999W DISSERTATION  (Whole term),84990,,,,Face-to-face,,open,Graduate
HDF s392 RSCH PROB: HUM DEV/FAM SCI  (Second term),85040,,,,Face-to-face,,open,Graduate
HDO f310 RSRCHING PEOPLE-CENTRD PROB-WB  (First term),77385,,,,Internet,"REYNOLDS, CHLOE CARAMANIS, CHRISTINA NEFE",open; reserved,Lower
HDO w380 CULT PERSPECTIVES ON HDO  (Whole term),77390,S,8:30 a.m.-12:30 p.m.,,Face-to-face,"SEALES, CHAD EUGENE",open,Graduate
HDO w285 ORGANIZATIONAL ETHICS  (Whole term),77395,S,1:30 p.m.-4:30 p.m.,,Face-to-face,"JUHL, CORY F",open,Graduate
HDO w287 STRUCTURE OF ORGANIZATIONS  (Whole term),77400,F,4:00 p.m.-7:00 p.m.,,Face-to-face,"ROSE, MARY PERNELL, KIM",open,Graduate
HED s311 INTRO TO HEALTH PROMOTION-WB  (Second term),73915,,,,Internet,"BENTON, ERIN",waitlisted,Lower
HED f329K CHILD/ADOLESCENT HEALTH-WB  (First term),73875,,,,Internet,"LATIMER, LARA",waitlisted,Upper
HED f343 FOUNDATIONS OF EPIDEMIOLOGY-WB  (First term),73880,,,,Internet,"GROSSBERG, LOUISE",open,Upper
HED w396T DIRECTED RSCH IN HEALTH EDU-WB  (Whole term),73885,,,,Internet,,open; reserved,Graduate
HED w698A THESIS-WB  (Whole term),73890,,,,Internet,,open; reserved,Graduate
HED w698B THESIS-WB  (Whole term),73895,,,,Internet,,open; reserved,Graduate
HED w399W DISSERTATION-WB  (Whole term),73900,,,,Internet,,open,Graduate
HED w699W DISSERTATION-WB  (Whole term),73905,,,,Internet,,open,Graduate
HED w999W DISSERTATION-WB  (Whole term),73910,,,,Internet,,open,Graduate
HIS f302P POP CULTURE IN MODERN JAPAN-WB  (First term),80300,,,,Internet,"HURLEY, BRIAN",open,Lower
HIS f314K HIST OF MEXICAN AMERS IN US-WB  (First term),80305,,,,Internet,"SCOTT, ALINA ISABELLA",open,Lower
HIS f315G INTRO TO AMERICAN STUDIES-WB  (First term),80310,,,,Internet,"GUTTERMAN, LAUREN JAE",cancelled,Lower
"HIS f315K UNITED STATES, 1492-1865-WB  (First term)",80315,,,,Internet,"ALLISON, BENJAMIN VAUGHN",open,Lower
HIS f315L THE UNITED STATES SNC 1865-WB  (First term),80320,,,,Internet,"SURI, JEREMI",open,Lower
HIS f317L AM HIST THRU SIGHT/SOUND-WB  (First term),80325,MTWTHF,10:00 a.m.-11:30 a.m.,,Internet,"MINTZ, STEVEN",closed,Lower
HIS f317L 4-INTRO TO ASIAN AMER HIST-WB  (First term),80330,,,,Internet,"ZHAO, CRYS",closed,Lower
HIS f317L 16-HIST/RELIGION IN THE US-WB  (First term),80337,,,,Internet,"KONOW, DRAKE ANDREW II",closed,Lower
HIS s302C INTRODUCTION TO CHINA-WB  (Second term),80410,,,,Internet,"LI, HUAIYIN",open,Lower
HIS s304C CONVERSION OF PAGAN EUROPE-WB  (Second term),80415,,,,Internet,"ROBERTS, JASON EDWARD",closed,Lower
HIS s315G INTRO TO AMERICAN STUDIES  (Second term),80419,MTWTHF,11:30 a.m.-1:00 p.m.,PAI 3.02,Face-to-face,"WILSON, KRISTEN",open,Lower
"HIS s315K UNITED STATES, 1492-1865-WB  (Second term)",80420,,,,Internet,"FOURMY, SIGNE P",open,Lower
HIS s315L THE UNITED STATES SNC 1865-WB  (Second term),80425,,,,Internet,"WATSON, EDWARD JOHN",open,Lower
HIS s317L HISTORY OF COLLEGE FOOTBALL-WB  (Second term),80430,,,,Internet,"ALLISON, BENJAMIN VAUGHN",open,Lower
HIS s317L 11-LATINX HISTORIES-WB  (Second term),80435,,,,Internet,"ROSAS, LILIA",open,Lower
