course,unique,days,hour,room,instruction_mode,instructor,status,level
P A  311L QUALITATIVE METHODS PUBL AFFR,65684,MW F,3:00 p.m.-4:00 p.m. 10:00 a.m.-11:00 a.m.,SRH 3.B10 SRH 3.316,Face-to-face,"LENTZ, ERIN",open; reserved,Lower
P A  301 FOUNDATIONS OF PUBLIC AFFAIRS,65685,TTH,3:30 p.m.-5:00 p.m.,LBJ 2.104,Face-to-face,"KANE, KELLEN A",waitlisted,Lower
P A  311N QUANTITATIVE MTHDS PUBL AFFRS,65686,MW F,2:00 p.m.-3:00 p.m. 9:00 a.m.-10:00 a.m.,SRH 3.B10 SRH 3.216,Face-to-face,"GARCIA, SERGIO I",open; reserved,Lower
P A  311L QUALITATIVE METHODS PUBL AFFR,65687,MW F,3:00 p.m.-4:00 p.m. 9:00 a.m.-10:00 a.m.,SRH 3.B10 SRH 3.316,Face-to-face,"LENTZ, ERIN",open; reserved,Lower
P A  320 COMMUNICATION FOR PUBL AFFAIRS,65688,TTH,9:00 a.m.-10:30 a.m.,SRH 3.124,Face-to-face,"RIVERA, MARIALENA",waitlisted,Upper
P A  320 COMMUNICATION FOR PUBL AFFAIRS,65689,MW,9:00 a.m.-10:30 a.m.,SRH 3.124,Face-to-face,"RIVERA, MARIALENA",waitlisted,Upper
P A  325 AI/INNOVATION/TECH POLICY,65690,M,2:00 p.m.-5:00 p.m.,SRH 3.B7,Face-to-face,"RAI, VARUN",waitlisted,Upper
P A  325 MORAL DILEMMAS/PUBL AFFAIRS,65693,TTH,10:30 a.m.-12:00 p.m.,,Face-to-face,"NEWHOUSE, MARIE",open,Upper
P A  325 CYBERSECURITY FOUNDATIONS,65694,TTH,2:00 p.m.-3:30 p.m.,SRH 3.B7,Face-to-face,"LOCKHART, FRANCESCA REECE",waitlisted,Upper
P A  325 FUNDRAISING FOR GOV/NPOS,65695,T,6:00 p.m.-9:00 p.m.,SRH 3.316,Face-to-face,"EATON, DAVID J",cancelled,Upper
P A  325 INTRO TO INTL DEVELOPMENT,65696,TTH,10:30 a.m.-12:00 p.m.,SRH 3.124,Face-to-face,"WEAVER, CATHERINE ELIZABE",open,Upper
P A  325 INTRO TO SOCIAL POLICY,65697,MW,10:30 a.m.-12:00 p.m.,SRH 3.124,Face-to-face,"KANE, KELLEN A",open,Upper
P A  325 INTRO TO NATIONAL SECURITY,65698,TTH,3:30 p.m.-5:00 p.m.,SRH 3.B7,Face-to-face,"POPE, JAMES PAUL",waitlisted,Upper
P A  325 INTRO TO EDUCATION POLICY,65699,TTH,2:00 p.m.-3:30 p.m.,LBJ 2.104,Face-to-face,"HARRISON, EMILEIGH",open,Upper
P A  325 NEXT GENERATION SCHOLARS RSCH,65700,F,9:00 a.m.-12:00 p.m.,SRH 3.212,Face-to-face,"MOSSER, MICHAEL WILLIAM HOLMSTEN, STEPHANIE S",waitlisted,Upper
P A  325 SKILLS/WIN CAMPAIGNS/ELECTN,65705,TTH,12:15 p.m.-1:45 p.m.,SRH 3.B10,Face-to-face,"BHANDARI, EMILY",cancelled,Upper
P A  136 PROFESSIONAL DEVELOPMENT,65710,T,2:00 p.m.-3:00 p.m.,,Face-to-face,"BERRYHILL, LAUREN L",cancelled,Upper
P A  136 PROFESSIONAL DEVELOPMENT,65713,W,10:00 a.m.-11:00 a.m.,SRH 3.312,Face-to-face,"BERRYHILL, LAUREN L",waitlisted,Upper
P A  136 PROFESSIONAL DEVELOPMENT,65714,W,9:00 a.m.-10:00 a.m.,SRH 3.312,Face-to-face,"BERRYHILL, LAUREN L",open; reserved,Upper
P A  345 ARTS ORGS/COM ENGMNT/POLICY,65715,T,2:00 p.m.-5:00 p.m.,SRH 3.316,Face-to-face,"OSTROWER, FRANCIE",cancelled,Upper
P A  345 CONFL MGMT: PRVNT/END CVL WARS,65720,TH,2:00 p.m.-5:00 p.m.,SRH 3.316,Face-to-face,"KUPERMAN, ALAN J",cancelled,Upper
P A  345 IMPLEMENTATION OF ENVR TECH,65723,M,6:00 p.m.-9:00 p.m.,SRH 3.316,Face-to-face,"EATON, DAVID J",open,Upper
P A  345 DIPLO: GLOBL POLCY IMPLMNT,65724,W,9:00 a.m.-12:00 p.m.,SRH 3.316,Face-to-face,"ANDRE, LARRY",waitlisted,Upper
P A  345 MANAGING GLOBAL PUBLIC AFFAIRS,65725,TH,9:00 a.m.-12:00 p.m.,SRH 3.314,Face-to-face,"ANDRE, LARRY",cancelled,Upper
P A  345 NONPROFIT MANAGEMENT AND STRAT,65730,T,9:00 a.m.-12:00 p.m.,SRH 3.316,Face-to-face,"OSTROWER, FRANCIE",cancelled,Upper
P A  345 NUCLEAR NONPROLIFERATION POLCY,65735,F,2:00 p.m.-5:00 p.m.,SRH 3.316,Face-to-face,"KUPERMAN, ALAN J",cancelled,Upper
P A  345 POLITICS OF U.S. POLICING,65740,TH,2:00 p.m.-5:00 p.m.,SRH 3.214,Face-to-face,"GUNDERSON, ANNA",open,Upper
P A  355 MANAG GLOBAL PUBLIC AFFAIRS,65741,TH,9:00 a.m.-12:00 p.m.,SRH 3.314,Face-to-face,"ANDRE, LARRY",open,Upper
P A  355 ARTS MANAGEMENT,65742,T,2:00 p.m.-5:00 p.m.,SRH 3.316,Face-to-face,"OSTROWER, FRANCIE",open,Upper
P A  345 THE JOHNSON YEARS,65743,M,9:00 a.m.-12:00 p.m.,,Face-to-face,"LAWRENCE, MARK A",open; reserved,Upper
P A  355 NONPROFIT MGMT AND STRAT,65744,T,9:00 a.m.-12:00 p.m.,SRH 3.316,Face-to-face,"OSTROWER, FRANCIE",waitlisted,Upper
P A  345 POVERTY AND POLICY,65745,W,2:00 p.m.-5:00 p.m.,SRH 3.314,Face-to-face,"RUGGLES, PATRICIA",open,Upper
